consec,tiempo,anio,timestre,periodo,clave,entidad,inpc_general,inpc_sub,inpc_ser,inpc_viv,inpc_edu,inpc_otros,itaee,itaee_des,itaee_log,itaeepc,itaeepc_des,itaee_logc,itaee_c,itaee_c1,itaee_c2,inpc_general_c1,desocup,desocup_des,salario,salario_log,uscpi,uscpi_log,usmexcpi,usmexcpi_log,usmextiponom,usmextiponom_0,indusmextipo,indusmextipo_0,mxfondeo,mxfondeo_0,usfondeo,usfondeo_0,tipcamnom,ied,ied_mxp,ied_mxp_log,usindpro,usindpro_log,mexindpro,mexindpro_log,mexindpro_e0,inpc12mes,inpc12mes_e0,inpcsub12mes,inpcsub12mes_e0,inpp_e,inpp_e0,inpp_pet,pib1mes_e,pibp12mes_e,pibp12mes_e0,incgb,incgb_0,poblacion,poblacion_0,m1,m1des,pea,pearel,peareal_log,fecanticon,fecanticon_0,tmortinf,tmortinf_0,tmortfet,tmortfet_0,rsid,rsid_0,noresid,noresid_0,carret_2c,carret_4c,carretera_0,isremp,isremp_0,gtosegpub,gtopgj,gtopgj_pc
1197,1,2001,1,2001Q1,24,San Luis Potosi,65.45241,68.0544,64.99679,67.60271,51.03844,69.68825,0,0,0,0,0,0,0,0,0,0,0,0,118.523518375,2.073804535,175.7,2.2447717615,1704.9752466667,3.2317180782,9.6939,0.9864985353,82.1097,1.9143944654,17.2779032258,1.2374910372,5.5933333333,0.7476707018,9.6939,105.950212,1027.0707601068,3.0116003654,90.8678,1.9584100135,99.658668322,1.9985150797,-0.1428,7.08776,7.08776,0,0,0,0,0,3.28,4.1642857143,4.1642857143,5.7,0.7558748557,2319163.98082229,6.3653314573,517443571.333333,510335341.604976,808921,34.8798535459,1.5425746527,3,0.4771212547,203,2.3074960379,7.5757575758,0,139111,5.1433614726,48370,4.6845760874,6738,612,3.8662873391,35,1.5440680444,0,135421901,6.7663574486
1198,2,2001,2,2001Q2,24,San Luis Potosi,66.41978,68.90965,66.43019,69.16573,51.03844,71.49956,0,0,0,0,0,0,0,0,0,0,0,0,122.2272609048,2.0871680794,177.5333333333,2.2492799074,1627.4538311111,3.211508677,9.1835666667,0.963011383,77.7933,1.8909421947,13.21,1.1209028176,4.3266666667,0.6361534377,9.1835666667,33.646459,308.9944993238,2.4899507482,89.6315666667,1.9524609875,99.6335794404,1.9984057331,-2.5118181818,6.835,6.835,0,0,0,0,0,2.065,4.2516666667,4.2516666667,5.7,0.7558748557,2324141.57013593,6.3662625786,519529535,524928822.215617,866289,37.2735039522,1.5714002212,3,0.4771212547,187,2.2718416065,10.8641044964,0,143313,5.1562855873,49944,4.6984833219,6738,612,3.8662873391,35,1.5440680444,0,135421901,6.7654263273
1199,3,2001,3,2001Q3,24,San Luis Potosi,66.85911,69.15223,67.49243,70.51438,53.43001,71.94192,0,0,0,0,0,0,0,0,0,0,0,0,124.2497171622,2.0942954088,177.7666666667,2.249850329,1641.7287144444,3.2153013942,9.2371333333,0.9655372125,77.5718,1.8897038691,9.314,0.9691362336,3.4966666667,0.5436542335,9.2371333333,40.880246,377.6162830015,2.577050713,88.3735666667,1.946322383,100.0533309828,2.0002315518,-4.4884,5.7196296296,5.7196296296,0,0,0,0,0,0.2122260185,4.562962963,4.562962963,5.7,0.7558748557,2329129.84278011,6.3671937,553893965.666667,568278401.742695,888878,38.1635228605,1.5816484574,3,0.4771212547,178,2.2504200023,7.689842999,0,149520,5.1746992884,51079,4.7082423863,6738,612,3.8662873391,35,1.5440680444,0,135421901,6.764495206
1200,4,2001,4,2001Q4,24,San Luis Potosi,67.68027,69.89212,68.93216,71.36291,57.91197,73.0686,0,0,0,0,0,0,0,0,0,0,0,0,127.6748007182,2.1061051887,177.2666666667,2.2486270783,1640.18875,3.2148938288,9.2415666667,0.9657456008,76.4004333333,1.8830958218,7.9580952381,0.9008091322,2.1333333333,0.3290587193,9.2415666667,18.113615,167.3981805968,2.2237507335,87.3656666667,1.9413407953,99.6145096678,1.9983226016,-3.0605,4.9204545455,4.9204545455,0,0,0,0,0,-0.2603728213,4.6146428571,4.6146428571,5.7,0.7558748557,2334128.8216843,6.3681248213,622911175.333333,609575172.612646,868624,37.2140557081,1.5707070034,3,0.4771212547,208,2.318063335,7.5876504448,0,155419,5.1915041103,53400,4.727541257,6738,612,3.8662873391,35,1.5440680444,0,135421901,6.7635640847
1201,5,2002,1,2002Q1,24,San Luis Potosi,68.26272,71.03705,70.58567,73.50963,58.33127,74.7142,0,0,0,0,0,0,0,0,0,4.2936692476,0,0,132.0671613977,2.1207948434,177.9,2.2501759481,1622.3416577778,3.21014232,9.1107,0.9595517463,74.6084,1.8727877265,7.6210169492,0.8820129275,1.7333333333,0.2388820889,9.1107,1.67436,15.254591652,1.1834005866,87.9532333333,1.9442518096,98.5571456145,1.9936881171,-3,4.4411071429,4.4411071429,0,0,0,0,0,1.5681176292,4.68,4.68,5.7,0.7558748557,2339138.52982721,6.3690559426,634818137.333333,626431545.427904,893199,38.1849552137,1.5818922856,2.9,0.4623979979,252,2.4014005408,4.9134800256,0.6913891949,159228,5.2020194401,54132,4.7334540731,7048,612,3.8842287696,35,1.5440680444,4257222,137796971,6.7701837286
1202,6,2002,2,2002Q2,24,San Luis Potosi,69.28561,71.69107,71.58163,75.551,58.63001,75.00155,0,0,0,0,0,0,0,0,0,4.3147237163,0,0,132.1673641519,2.1211242288,179.8333333333,2.2548701943,1701.4576622222,3.2308211469,9.4824333333,0.9769197981,77.2923,1.8881362309,6.57265625,0.8177409193,1.75,0.2430380487,9.4824333333,23.571932,223.5192737279,2.3493149776,89.3405666667,1.9510487028,99.3248500435,1.997057918,1.6265217391,4.1455,4.1455,0,0,0,0,0,1.5996939156,4.4566666667,4.4566666667,5.7,0.7558748557,2344158.99023686,6.3699870639,639033758,645495263.78048,914810,39.0250833587,1.5913438394,2.9,0.4623979979,194,2.2878017299,3.2449599558,0.5112093418,163336,5.2130819158,55132,4.7414037475,7048,612,3.8842287696,35,1.5440680444,4257222,137796971,6.7692526072
1203,7,2002,3,2002Q3,24,San Luis Potosi,70.14249,71.97487,72.55884,76.6769,60.73069,75.15026,0,0,0,0,0,0,0,0,0,4.9108939679,0,0,135.3258906369,2.131380894,180.6,2.256717746,1785.6223966667,3.2517896246,9.8972666667,0.9955152718,80.2836333333,1.9046270188,6.8509230769,0.8357490912,1.74,0.2405492483,9.8972666667,9.242304,91.4735473024,1.9612955212,89.8702,1.9536157082,99.4576937522,1.9976383845,2.1026315789,4.0492068966,4.0492068966,0,0,0,0,0,1.5829632662,2.8531034483,2.8531034483,5.7,0.7558748557,2349190.22599067,6.3709181853,650919067.666667,667355429.41801,922929,39.2871122053,1.5942501072,2.9,0.4623979979,178,2.2504200023,7.6944215444,0.8861759758,166934,5.2225447999,56172,4.7495198872,7048,612,3.8842287696,35,1.5440680444,4257222,137796971,6.7683214859
1204,8,2002,4,2002Q4,24,San Luis Potosi,71.3214,72.84127,73.66987,77.27901,64.32056,75.37985,0,0,0,0,0,0,0,0,0,5.3798987504,0,0,137.8093427767,2.1392786615,181.1666666667,2.2580782937,1846.1212,3.2662602096,10.1724666667,1.0074262754,81.4561333333,1.9109237906,7.53,0.8767949762,1.4433333333,0.1593666416,10.1724666667,-24.39377,-248.1448121993,-2.3947052001,89.8363333333,1.9534520179,99.4998873803,1.9978225892,1.6776,4.2075,4.2075,0,0,0,0,0,1.1419366875,1.4190482125,1.4190482125,5.7,0.7558748557,2354232.26021563,6.3718493066,699523157.333333,684882796.468669,953629,40.5070058768,1.607530143,2.9,0.4623979979,192,2.2833012287,5.5306204931,0.7427738585,170464,5.2316326751,57326,4.7583516393,7048,612,3.8842287696,35,1.5440680444,4257222,137796971,6.7673903646
1205,9,2003,1,2003Q1,24,San Luis Potosi,72.06693,73.54997,74.62722,78.14221,64.32056,76.95537,96.4820161503,98.8546474103,1.9844463702,4.08946E-05,4.11035E-05,1.5048687388,3.5258219716,0,0,5.5728954252,0,0,139.8760870353,2.1457434746,183,2.2624510897,1984.7791366667,3.2977121861,10.8233,1.0343596964,86.3369666667,1.9361967862,8.8075409836,0.9448546727,1.25,0.096910013,10.8233,24.657644,266.8770783052,2.4263112745,90.5189333333,1.9567394276,100.7079990645,2.0030639672,3.3568,4.2709310345,4.2709310345,0,0,0,0,0,2.5413333333,3.9967857143,3.9967857143,10.2,1.0086001718,2359285.11608834,6.3727804279,714088203.333333,705405013.275604,908420,38.5040364052,1.5855062593,2.9,0.4623979979,196,2.2922560714,4.4394395478,0.6473281465,174397,5.2415390099,57741,4.761484301,8724,612,3.970160843,34,1.531478917,4257222,137796971,6.7664592433
1206,10,2003,2,2003Q2,24,San Luis Potosi,72.01078,73.73707,75.43855,79.08434,64.32056,78.08938,98.637301972,99.1547309968,1.9940411845,4.17186E-05,4.15794E-05,2.4106884106,5.7077634313,0,0,3.9332409717,0,0,142.2217713235,2.1529660833,183.6666666667,2.2640303441,1912.69884,3.2816465945,10.4492,1.0190830417,83.4035666667,1.9211846232,6.0111290323,0.7789560504,1.2466666667,0.0957503475,10.4492,28.735476,300.2627358192,2.4775014373,89.7641666667,1.9531030034,99.8422664408,1.999314431,0.2070833333,4.3070322581,4.3070322581,0,0,0,0,0,2.1563870968,4.0033333333,4.0033333333,10.2,1.0086001718,2364348.81683515,6.3737115492,714356163.82,720949256.717921,952436,40.2832269595,1.6051242532,2.8,0.4471580313,154,2.1875207208,7.3024054983,0.8634659454,179071,5.2530252589,58712,4.7687268747,8724,612,3.970160843,34,1.531478917,4257222,137796971,6.765528122
1207,11,2003,3,2003Q3,24,San Luis Potosi,72.48309,74.1388,76.944,80.80233,66.39067,79.08021,102.6667364345,102.7460660954,2.0114297569,4.33298E-05,3.85259E-05,1.5248561724,3.5734783847,0,0,3.3369217432,0,0,145.1096399359,2.1616962645,184.5666666667,2.2661532688,1977.3712444444,3.2960882142,10.7194,1.0301704771,85.3201666667,1.9310516951,4.3535384615,0.6388423856,1.0166666667,0.0071785846,10.7194,38.058812,407.9676293528,2.6106257049,90.1924333333,1.9551701041,98.6416568516,1.9940603584,-0.0288,4.00846875,4.00846875,0,0,0,0,0,1.6022067581,3.8366666667,3.8366666667,10.2,1.0086001718,2369423.38573227,6.3746426705,722286788.723333,739653953.962688,976703,41.2211260293,1.6151198511,2.8,0.4471580313,152,2.1818435879,16.0886664283,1.2065200474,183243,5.2630273933,59729,4.7761852437,8724,612,3.970160843,34,1.531478917,4257222,137796971,6.7645970006
1208,12,2003,4,2003Q4,24,San Luis Potosi,73.43926,74.84357,77.85094,81.55508,68.85993,79.27246,102.2139454432,99.2329224003,2.0095101523,4.30464E-05,3.88496E-05,3.9401740247,9.4968789071,0,0,2.9694593768,0,0,147.5837094517,2.1690384219,184.6,2.2662316967,2072.2899666667,3.3164505243,11.1894666667,1.0488093869,87.8160666667,1.9435739809,5.4036507937,0.7326872753,0.9966666667,-0.0014500664,11.1894666667,-7.586794,-84.8921785699,-1.9288676789,90.9197666667,1.9586583125,101.4634522189,2.0063096348,0.7038461538,3.86,3.86,0,0,62.782127184,0,63.9803452379,1.1637587878,3.1560714286,3.1560714286,10.2,1.0086001718,2374508.84610585,6.3755737919,785057916.716667,769336478.121565,949922,40.0049888868,1.6021141541,2.8,0.4471580313,178,2.2504200023,7.2712583317,0.8616095744,186869,5.2715372615,60215,4.7797046907,8724,612,3.970160843,34,1.531478917,4257222,137796971,6.7636658793
1209,13,2004,1,2004Q1,24,San Luis Potosi,74.60144,75.94406,78.97286,82.96635,69.07253,80.61962,99.8838002743,102.3036373319,1.9994950576,4.19749E-05,0.000041061,2.5539588359,6.0570610879,3.5258219716,0,3.5168835415,0,0,149.4903676137,2.1746132099,186.2666666667,2.2701351427,2051.90768,3.312157817,10.9795666667,1.0405852,85.5594666667,1.9322680687,5.743968254,0.759212031,1.0033333333,0.0014452409,10.9795666667,11.937661,131.0703447936,2.1175044419,91.544,1.9616298849,104.3735571412,2.0185904849,3.1196,3.8196969697,3.8196969697,3.4960869565,3.4960869565,63.939201788,0,65.1505457523,3.2309090909,4.0037931034,4.0037931034,10.2,1.0086001718,2379605.22133212,6.3765049132,804690079.016667,795718188.366411,949527,39.902711235,1.6010024053,2.8,0.4471580313,189,2.2764618042,13.9554461857,1.1447437264,195530,5.2912134003,61514,4.7889739683,8718,640,3.9711830409,33,1.5185139399,5387722,170100520,6.8542007281
1210,14,2004,2,2004Q2,24,San Luis Potosi,75.44957,76.95003,80.02995,84.44879,69.32807,81.71257,104.2672858236,104.7057281628,2.0181480686,4.37232E-05,4.14584E-05,1.3237274553,3.0949220399,5.7077634313,3.5258219716,4.7753822414,0,0,151.2085288346,2.179576288,188.9333333333,2.2763085869,2144.0086333333,3.3312265298,11.3923,1.056611413,89.5173,1.9519069746,6.2492063492,0.7958248653,1.01,0.0043213738,11.3923,46.961067,534.9945635841,2.7283493689,91.9611,1.9636041575,102.922125344,2.0125087458,3.4786956522,4.015625,4.015625,3.5173913043,3.5173913043,65.749001241,0,66.8933703566,3.9332258065,3.711,3.711,10.2,1.0086001718,2384712.53483747,6.3774360345,822281714.77,829465525.651973,947556,39.7346005507,1.5991688514,2.8,0.4471580313,154,2.1875207208,10.9764187926,1.0404606687,199852,5.3007084988,62305,4.7945229004,8718,640,3.9711830409,33,1.5185139399,5387722,170100520,6.8532696068
1211,15,2004,3,2004Q3,24,San Luis Potosi,76.44452,77.58739,80.43898,84.63908,70.68123,81.80965,106.3355100693,106.449967963,2.0266783186,0.000044495,3.86505E-05,1.1195945676,2.611478593,3.5734783847,5.7077634313,5.4653161172,0,0,153.1511657361,2.1851203069,189.6,2.277838333,2168.2546455556,3.3361102856,11.4480666667,1.0587321498,89.5135333333,1.9518887002,6.9607692308,0.8426572359,1.4333333333,0.1563472009,11.4480666667,21.103419,241.5933476066,2.3830849716,92.536,1.9663107226,104.2730928058,2.0181722552,4.4626923077,4.04375,4.04375,3.57875,3.57875,66.9004254535,0,67.9872209924,4.0193055359,3.3915151515,3.3915151515,10.2,1.0086001718,2389830.81009858,6.3783671558,829480387.406667,848134772.630804,941944,39.4146730396,1.5956579283,2.8,0.4471580313,148,2.1702617154,0.9378297058,-0.0278760151,209725,5.3216502031,64381,4.8087577181,8718,640,3.9711830409,33,1.5185139399,5387722,170100520,6.8523384854
1212,16,2004,4,2004Q4,24,San Luis Potosi,77.95233,78.56578,81.28261,85.13805,72.8693,82.24082,111.9210800681,108.935505346,2.0489118926,4.67319E-05,4.89524E-05,0.607319417,1.4082280509,9.4968789071,3.5734783847,6.145309743,0,0,155.8179474264,2.1926174791,190.7333333333,2.2804265987,2167.66242,3.3359916485,11.3235,1.0539806844,87.2733,1.9408813979,8.0893939394,0.9079159853,1.95,0.2900346114,11.3235,-22.467949,-254.4158205015,-2.4055441138,93.8353666667,1.9723665554,104.9995634524,2.0211874934,4.4165517241,4.3171240835,4.3171240835,3.7630269231,3.7630269231,67.7812586979,3.3273603046,68.910670642,4.0799718338,3.2206451613,3.2206451613,10.2,1.0086001718,2394960.07064252,6.3792982771,885980971.51,868862135.137101,943262,39.3852912858,1.5953340618,2.8,0.4471580313,162,2.2095150145,7.6549210207,0.8839407142,220784,5.3439675973,66356,4.8218801985,8718,640,3.9711830409,33,1.5185139399,5387722,170100520,6.8514073641
1213,17,2005,1,2005Q1,24,San Luis Potosi,78.45645,79.66567,82.09516,85.8464,73.15585,83.44316,105.9338230739,108.4359333382,2.0250346459,4.41372E-05,4.09202E-05,1.9991252907,4.7107458124,6.0570610879,9.4968789071,5.1674739791,0,0,158.838895847,2.2009568594,191.9333333333,2.2831504058,2151.6339911111,3.3327683966,11.1800333333,1.0484430984,85.9477666667,1.9342345961,9.0395081967,0.9561448029,2.47,0.3926969533,11.1800333333,73.18341194,818.1929849363,2.9128557516,95.0837666667,1.9781063776,105.0543786291,2.0214141584,0.8588461538,4.2459540058,4.2459540058,3.7337391304,3.7337391304,68.5153910385,3.0020930451,69.6415394524,3.8832258065,3.7029032258,3.7029032258,6.6,0.8195439355,2400100.34004684,6.3802293985,901083632.11,891980048.628647,955895,39.8272932198,1.6001807915,2.7,0.4313637642,195,2.2900346114,10.5883212034,1.0248271074,229382,5.3605593351,67562,4.8297024973,8884,640,3.9788193867,30,1.4771212547,6563015,193108644,6.9055723158
1214,18,2005,2,2005Q2,24,San Luis Potosi,79.31573,80.25125,82.78648,86.28115,73.27741,84.694,107.494277033,107.8407565635,2.0313853431,4.46915E-05,4.13407E-05,3.4866071968,8.3592703425,3.0949220399,6.0570610879,5.1241643922,2.7349323228,2.7383223304,161.411546749,2.2079345992,194.5,2.2889196057,2124.4071333333,3.327237751,10.9708,1.0402382978,85.0989666667,1.9299242866,9.6752307692,0.9856613324,2.9433333333,0.4688394489,10.9708,54.770276,600.8737439408,2.7787832273,95.5753333333,1.9803458214,105.7389947332,2.0242351772,2.9395238095,4.2745454545,4.2745454545,3.5203846154,3.5203846154,69.0860805746,2.1501394706,70.0650893379,3.5688827543,3.8180645161,3.8180645161,6.6,0.8195439355,2405251.64193971,6.3811605198,904567451.25,912183867.112582,956451,39.7651116134,1.5995022058,2.7,0.4313637642,173,2.2380461031,14.2888975545,1.1549987225,234024,5.3692603981,68383,4.8349481496,8884,640,3.9788193867,30,1.4771212547,6563015,193108644,6.9046411945
1215,19,2005,3,2005Q3,24,San Luis Potosi,79.98883,81.06531,83.61753,86.57883,75.28744,85.38414,109.1124391515,109.1857551099,2.0378742643,4.52671E-05,4.88186E-05,2.4494947076,5.8022606055,2.611478593,3.0949220399,4.6364474523,2.7081071582,2.6328727834,163.4517083593,2.2133894641,196.8666666667,2.2941721879,2106.52968,3.3235675825,10.7146,1.0299759625,83.6201333333,1.9223108557,9.6333846154,0.9837789,3.46,0.5390760988,10.7146,7.243377,77.6098872042,1.8899170522,95.2240333333,1.9787465726,107.8074637235,2.032648829,2.42625,3.89,3.89,3.326,3.326,69.7580586092,1.8165505853,70.5950598643,3.0102311853,3.743030303,3.743030303,6.6,0.8195439355,2410414,6.3820916411,922228910.03,941974237.948271,954299,39.5906678272,1.5975928276,2.7,0.4313637642,139,2.1430148003,15.8664825535,1.2004806585,240114,5.3804174826,69804,4.8438803098,8884,640,3.9788193867,30,1.4771212547,6563015,193108644,6.9037100732
